anio_desde,anio_hasta,seccion,lugar_o_pais,detalle,fuente
1868,1868,1860s,"Japón ( Osaka , Hiolo, Nagasaki , Yokohama y Niigata )","4 al 8 de febrero, 4 de abril al 12 de mayo, 12 y 13 de junio. Desembarcaron fuerzas estadounidenses para proteger los intereses estadounidenses durante una guerra civil ( Guerra Boshin ) en Japón. [ 80 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1868,1868,1860s,Uruguay,"Del 7 al 8 de febrero y del 19 al 26 de febrero, las fuerzas estadounidenses protegieron a los residentes extranjeros y la aduana durante una insurrección en Montevideo . [ 81 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1868,1868,1860s,Colombia,"En abril, las fuerzas estadounidenses protegieron a los pasajeros y el tesoro en tránsito en Aspinwall durante la ausencia de la policía o tropas locales con motivo de la muerte del presidente Manuel Murillo Toro . [ 82 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1870,1870,1870s,Batalla de Boca Teacapan,"El 17 y 18 de junio, las fuerzas estadounidenses destruyeron el barco pirata Forward , que había encallado a unas 40 millas del estuario de Teacapan en México. [ 83 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1871,1871,1870s,Corea,"Shinmiyangyo – 10 al 12 de junio, una fuerza naval estadounidense atacó y capturó cinco fuertes para forzar negociaciones estancadas sobre acuerdos comerciales y castigar a los nativos por las depredaciones a los estadounidenses, en particular por ejecutar a la tripulación del General Sherman y quemar la goleta (lo que a su vez ocurrió porque la tripulación había robado comida y secuestrado a un funcionario coreano), y por disparar posteriormente contra otras pequeñas embarcaciones estadounidenses que realizaban sondeos en el río Salee. [ 84 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1873,1873,1870s,Colombia ( Bahía de Panamá ),"7 al 22 de mayo, 23 de septiembre al 9 de octubre. Las fuerzas estadounidenses protegieron los intereses estadounidenses durante las hostilidades entre grupos locales por el control del gobierno del Estado de Panamá . [ 85 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1873,1896,1870s,México,las tropas estadounidenses cruzaron la frontera mexicana repetidamente en persecución de ladrones de ganado y otros bandidos. [ 86 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1874,1874,1870s,Motín en el juzgado de Honolulu,"Del 12 al 20 de febrero, se desembarcaron destacamentos de barcos estadounidenses para proteger los intereses de los estadounidenses que vivían en el Reino de Hawái durante la coronación del rey Kalākaua . [ 87 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1876,1876,1870s,México,"El 18 de mayo, una fuerza estadounidense desembarcó para vigilar la ciudad de Matamoros , México, temporalmente mientras se encontraba sin otro gobierno. [ 88 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1876,1877,1870s,"Gran Guerra Sioux en el territorio de Dakota , el territorio de Wyoming y el territorio de Montana","conflicto armado con los pueblos Lakota Sioux y Cheyene por la posesión de Black Hills , tras el descubrimiento de oro allí. A pesar de las victorias de los nativos americanos como la Batalla de Little Bighorn , el gobierno de Estados Unidos prevaleció, lo que obligó a las tribus a regresar a sus reservas .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1878,1878,1870s,"Condado de Lincoln , Nuevo México","Del 15 al 19 de julio, durante la Batalla de Lincoln (parte de la Guerra del condado de Lincoln ), 150 hombres de caballería llegaron desde Fort Stanton , bajo el mando del teniente George Smith (más tarde coronel Nathan Dudley ) para ayudar a la Facción Murphy-Dolan a atacar al grupo de vigilantes Reguladores del Condado de Lincoln .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1882,1882,1880s,Expedición a Egipto,"Del 14 al 18 de julio, las fuerzas estadounidenses desembarcaron para proteger los intereses estadounidenses durante la guerra anglo-egipcia y el saqueo de la ciudad de Alejandría por parte de los árabes. [ 89 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1885,1885,1880s,Colombia ( Colón ),"18 y 19 de enero, fuerzas estadounidenses fueron utilizadas para custodiar los objetos de valor en tránsito por el Ferrocarril de Panamá , y las cajas fuertes y bóvedas de la empresa durante la actividad revolucionaria. En marzo, abril y mayo en las ciudades de Colón y Panamá , las fuerzas ayudaron a restablecer la libertad de tránsito durante la actividad revolucionaria (véase Quema de Colón ). [ 90 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1888,1888,1880s,Corea,"Junio, se envió una fuerza naval a tierra para proteger a los residentes estadounidenses en Seúl durante condiciones políticas inestables, cuando se esperaba un brote de población. [ 91 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1888,1888,1880s,Haití,20 de diciembre. Una demostración de fuerza persuadió al gobierno haitiano a entregar un vapor estadounidense que había sido incautado bajo la acusación de violación del bloqueo. [ 92 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1888,1889,1880s,Crisis samoana ; Primera guerra civil de Samoa ; Segunda guerra civil de Samoa,"del 14 de noviembre de 1888 al 20 de marzo de 1889, se desembarcaron fuerzas estadounidenses para proteger a los ciudadanos estadounidenses y al consulado durante una guerra civil nativa. [ 93 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1889,1889,1880s,Reino de Hawái,"30 y 31 de julio, las fuerzas estadounidenses en Honolulu protegieron los intereses de los estadounidenses que vivían en Hawái durante una revolución liderada por Estados Unidos. [ 94 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1890,1890,1890s,Argentina,Un grupo naval desembarcó para proteger el consulado y la legación de Estados Unidos en Buenos Aires . [ 95 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1890,1890,1890s,"Masacre de Wounded Knee ; Reserva india de Pine Ridge , Dakota del Sur","El 29 de diciembre, soldados del 7.º Regimiento de Caballería del Ejército de EE. UU. mataron a 178 sioux lakota tras un incidente durante una inspección de desarme en un campamento sioux lakota cerca de Wounded Knee Creek .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1891,1891,1890s,Haití,Las fuerzas estadounidenses intentaron proteger vidas y propiedades estadounidenses en la isla Navassa . [ 96 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1891,1891,1890s,Operaciones contra la caza furtiva en el mar de Bering,"Del 2 de julio al 5 de octubre, las fuerzas navales intentaron detener la caza furtiva de focas. [ 97 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1891,1891,1890s,Incidente del Itata,las fuerzas navales estadounidenses y europeas interceptaron y detuvieron un cargamento de armas enviado a las fuerzas del Congreso en la guerra civil chilena .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1891,1891,1890s,Chile,"del 28 al 30 de agosto, fuerzas estadounidenses protegieron el consulado estadounidense y a las mujeres y niños que se habían refugiado en él durante una revolución en Valparaíso . [ 98 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1892,1892,1890s,Huelga de Homestead,"El 6 de julio, los mineros en huelga atacaron a agentes de la Agencia Nacional de Detectives de Pinkerton que intentaban romper la huelga trayendo trabajadores no sindicalizados a la mina. Se enviaron 6.000 milicianos del estado de Pensilvania para restablecer la ley y el orden.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1892,1892,1890s,Wyoming,"Guerra del condado de Johnson . Del 11 al 13 de abril, la caballería estadounidense fue enviada para disolver un tiroteo en el TA Ranch .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1893,1893,1890s,Derrocamiento del Reino de Hawái,"Del 16 de enero al 1 de abril, los marines desembarcaron en Hawái, aparentemente para proteger vidas y propiedades estadounidenses, pero en realidad fueron utilizados como parte de un golpe para promover un gobierno provisional bajo Sanford B. Dole . Esta acción fue rechazada por el presidente Grover Cleveland y Estados Unidos se disculpó en 1993. [ 99 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1894,1894,1890s,Nicaragua,"Del 6 de julio al 7 de agosto, las fuerzas estadounidenses intentaron proteger los intereses estadounidenses en Bluefields luego de una revolución. [ 100 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1894,1895,1890s,China,los marines estaban estacionados en Tianjin y penetraron hasta Beijing con fines de protección durante la primera guerra sino-japonesa . [ 101 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1894,1895,1890s,China,un buque de guerra quedó varado y utilizado como fuerte en Newchwang para proteger a los ciudadanos estadounidenses. [ 102 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1894,1896,1890s,Corea,"del 24 de julio de 1894 al 3 de abril de 1896, se envió una guardia de marines para proteger la legación estadounidense y las vidas y los intereses estadounidenses en Seúl durante y después de la primera guerra sino-japonesa . [ 103 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1895,1895,1890s,Colombia,"8 y 9 de marzo, las fuerzas estadounidenses protegieron los intereses estadounidenses durante un ataque al pueblo de Bocas del Toro por parte de un jefe bandido. [ 104 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1896,1896,1890s,Nicaragua,"Del 2 al 4 de mayo, las fuerzas estadounidenses protegieron los intereses estadounidenses en Corinto durante los disturbios políticos. [ 105 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1898,1898,1890s,Nicaragua,"7 y 8 de febrero, las fuerzas estadounidenses protegieron vidas y propiedades estadounidenses en San Juan del Sur . [ 106 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1898,1898,1890s,Guerra hispanoamericana,"El 25 de abril de 1898, Estados Unidos declaró la guerra a España , aparentemente alineado con los rebeldes cubanos. La guerra siguió a una insurrección cubana , la Guerra de Independencia de Cuba contra el dominio español y el hundimiento del USS Maine en el puerto de La Habana . [ 107 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1898,1899,1890s,Samoa,"Segunda guerra civil de Samoa , un conflicto que alcanzó un punto crítico en 1898, cuando Alemania , el Reino Unido y los Estados Unidos estaban enzarzados en una disputa sobre quién debería tener el control sobre la cadena de islas de Samoa.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1898,1899,1890s,China,"Del 5 de noviembre de 1898 al 15 de marzo de 1899, las fuerzas estadounidenses proporcionaron guardia para la legación en Beijing y el consulado en Tianjin durante la contienda entre la emperatriz viuda y su hijo. [ 108 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1899,1899,1890s,Nicaragua,"Fuerzas navales estadounidenses y británicas desembarcaron para proteger los intereses nacionales en San Juan del Norte , del 22 de febrero al 5 de marzo, y en Bluefields unas semanas más tarde en relación con la insurrección del general Juan P. Reyes. [ 109 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1899,1913,1890s,Islas Filipinas,"Guerra entre Filipinas y Estados Unidos , las fuerzas estadounidenses protegieron los intereses estadounidenses después de la guerra con España y derrotaron a los revolucionarios filipinos que buscaban la independencia nacional inmediata. [ 110 ] ​ El gobierno de los Estados Unidos declaró oficialmente el fin de la insurgencia en 1902, cuando los líderes filipinos aceptaron en general el gobierno estadounidense. Las escaramuzas entre tropas gubernamentales y grupos armados duraron hasta 1913, y algunos historiadores consideran que estas son extensiones no oficiales de la guerra. [ 111 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1900,1900,1900s,China,"Del 24 de mayo al 28 de septiembre, Rebelión de los Bóxers . Las tropas estadounidenses participaron en operaciones para proteger vidas extranjeras durante el levantamiento de los Bóxers , particularmente en Beijing , junto con la Alianza de las Ocho Naciones . Durante muchos años después de esta experiencia se mantuvo una guardia de legación permanente en Beijing, y en ocasiones se reforzó cuando amenazaban problemas. [ 112 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1901,1901,1900s,Colombia ( Departamento de Panamá ),Del 20 de noviembre al 4 de diciembre. (Véase: Separación de Panamá de Colombia ) Las fuerzas estadounidenses protegieron las propiedades estadounidenses en el Istmo y mantuvieron abiertas las líneas de tránsito durante graves disturbios revolucionarios. [ 113 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1902,1902,1900s,Colombia,"Del 16 al 23 de abril, las fuerzas estadounidenses protegieron vidas y propiedades estadounidenses en Bocas del Toro durante una guerra civil. [ 114 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1902,1902,1900s,Colombia (Departamento de Panamá),"Del 17 de septiembre al 18 de noviembre, Estados Unidos colocó guardias armados en todos los trenes que cruzaban el Istmo para mantener abierta la línea ferroviaria , y estacionó barcos a ambos lados de Panamá para impedir el desembarco de tropas colombianas. [ 115 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1903,1903,1900s,Honduras,"Del 23 al 30 o 31 de marzo, las fuerzas estadounidenses protegieron el consulado estadounidense y el muelle de vapor en Puerto Cortés durante un período de actividad revolucionaria. [ 116 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1903,1903,1900s,República Dominicana,"Del 30 de marzo al 21 de abril, un destacamento de marines fue desembarcado para proteger los intereses estadounidenses en la ciudad de Santo Domingo durante un estallido revolucionario. [ 117 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1903,1903,1900s,Siria,"Del 7 al 12 de septiembre, las fuerzas estadounidenses protegieron el consulado estadounidense en Beirut cuando se temía un levantamiento musulmán local. [ 118 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1903,1904,1900s,Abisinia ( Etiopía ),Se enviaron veinticinco marines a Abisinia para proteger al cónsul general de los Estados Unidos mientras negociaba un tratado. [ 119 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1903,1914,1900s,Panamá,"Las fuerzas estadounidenses buscaron proteger los intereses y las vidas estadounidenses durante y después de la revolución por la independencia de Colombia en relación con la construcción del Canal del Istmo . Con breves intermedios, los marines estadounidenses estuvieron estacionados en el istmo desde el 4 de noviembre de 1903 hasta el 21 de enero de 1914 para proteger los intereses estadounidenses. [ 120 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1904,1904,1900s,República Dominicana,"Del 2 de enero al 11 de febrero, las fuerzas navales estadounidenses y británicas establecieron un área en la que no se permitirían combates y protegieron los intereses estadounidenses en Puerto Plata , Sosúa y Santo Domingo durante los combates revolucionarios. [ 121 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1904,1904,1900s,"Tánger , Marruecos","""Queremos a Perdicaris vivo o a Raisuli muerto"". Durante el asunto Perdicaris , un escuadrón se manifestó para forzar la liberación de un estadounidense secuestrado. Se desembarcaron marines para proteger al cónsul general. [ 122 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1904,1904,1900s,Panamá,"Del 17 al 24 de noviembre, las fuerzas estadounidenses protegieron vidas y propiedades estadounidenses en Ancón en el momento de una amenaza de insurrección. [ 123 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1904,1905,1900s,Corea,"Del 5 de enero de 1904 al 11 de noviembre de 1905, se envió una guardia de marines para proteger la legación estadounidense en Seúl durante la guerra ruso-japonesa . [ 124 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1906,1909,1900s,Cuba,"Desde septiembre de 1906 hasta el 23 de enero de 1909, las fuerzas estadounidenses buscaron proteger intereses y restablecer un gobierno después de la actividad revolucionaria. [ 125 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1907,1907,1900s,Honduras,"Del 18 de marzo al 8 de junio, para proteger los intereses estadounidenses durante una guerra entre Honduras y Nicaragua , se estacionaron tropas en Trujillo , La Ceiba , Puerto Cortés , San Pedro Sula , Brus Laguna y Choloma . [ 126 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1910,1910,1910s,Nicaragua,"Del 19 de mayo al 4 de septiembre, Ocupación de Nicaragua . Las fuerzas estadounidenses protegieron los intereses estadounidenses en Bluefields . [ 127 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1911,1911,1910s,Honduras,"El 26 de enero, desembarcaron destacamentos navales estadounidenses para proteger vidas e intereses estadounidenses durante una guerra civil en Honduras. [ 128 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1911,1911,1910s,China,"A medida que se acercaba la Revolución Xinhai liderada por Tongmenghui , en octubre un alférez y 10 hombres intentaron entrar en Wuchang para rescatar a los misioneros, pero se retiraron cuando se les advirtió que se alejaran, y una pequeña fuerza de desembarco custodiaba la propiedad privada estadounidense y el consulado en Hankou . En noviembre se desplegaron marines para proteger las estaciones de cable en Shanghái ; Se enviaron fuerzas de desembarco para protección en Nankín , Zhenjiang , Taku y otros lugares. [ 129 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1912,1912,1910s,Honduras,Una pequeña fuerza desembarcó para evitar la incautación por parte del gobierno de un ferrocarril de propiedad estadounidense en Puerto Cortés . Las fuerzas fueron retiradas después de que Estados Unidos desaprobara la acción. [ 130 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1912,1912,1910s,Panamá,"Tropas, a pedido de ambos partidos políticos, supervisaron elecciones fuera de la Zona del Canal de Panamá . [ 131 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1912,1912,1910s,Cuba,"del 5 de junio al 5 de agosto, las fuerzas estadounidenses protegieron los intereses estadounidenses en la provincia de Oriente y en La Habana . [ 132 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1912,1912,1910s,China,"Del 24 al 26 de agosto, en la isla de Kentucky (ahora conocida como Danzi Dao [ 133 ] ​) y del 26 al 30 de agosto en Camp Nicholson. Las fuerzas estadounidenses protegieron a los estadounidenses y los intereses estadounidenses durante la Revolución Xinhai . [ 134 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1912,1912,1910s,Turquía,"Del 18 de noviembre al 3 de diciembre, las fuerzas estadounidenses custodiaron la legación estadounidense en Constantinopla durante la primera guerra de los Balcanes . [ 135 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1912,1925,1910s,Nicaragua,"de agosto a noviembre de 1912, las fuerzas estadounidenses protegieron los intereses estadounidenses durante un intento de revolución. Una pequeña fuerza, que sirvió como guardia de la legación y buscó promover la paz y la estabilidad, permaneció hasta el 5 de agosto de 1925. [ 136 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1912,1941,1910s,China,"Los desórdenes que comenzaron con el derrocamiento de la dinastía durante la rebelión del Kuomintang en 1912, que fueron redirigidos por la invasión de China por parte de Japón , llevaron a manifestaciones y desembarcos de grupos para la protección de los intereses estadounidenses en China de manera continua y en muchos puntos desde 1912 hasta 1941. La guardia en Beijing y a lo largo de la ruta hacia el mar se mantuvo hasta 1941. En 1927, Estados Unidos tenía 5.670 tropas en tierra en China y 44 buques de guerra en sus aguas. En 1933, Estados Unidos tenía 3.027 hombres armados en tierra. La acción protectora se basó generalmente en tratados con China celebrados entre 1858 y 1901. [ 137 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1913,1913,1910s,México,"Del 5 al 7 de septiembre, algunos marines desembarcaron en Ciaris Estero para ayudar en la evacuación de ciudadanos estadounidenses y otras personas del Valle del Yaqui , que la Revolución mexicana había vuelto peligroso para los extranjeros. [ 138 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1914,1914,1910s,Haití,"29 de enero al 9 de febrero, 20 y 21 de febrero, 19 de octubre. De forma intermitente, las fuerzas navales estadounidenses protegieron a los ciudadanos estadounidenses en una época de disturbios y revolución. [ 139 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1914,1914,1910s,República Dominicana,"En junio y julio, durante la Guerra Civil Dominicana (1914) , las fuerzas navales de Estados Unidos detuvieron a tiros el bombardeo de Puerto Plata , y mediante amenaza de fuerza mantuvieron a Santo Domingo como zona neutral. [ 140 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1914,1917,1910s,México,"el incidente de Tampico condujo a la ocupación de Veracruz . Las hostilidades mexicano-estadounidenses no declaradas siguieron al incidente de Tampico y las redadas de Villa. También Expedición Pancho Villa – una operación militar fallida realizada por el ejército de los Estados Unidos contra las fuerzas militares de Francisco ""Pancho"" Villa de 1916 a 1917 e incluyó la captura de Veracruz . El 19 de marzo de 1915, por órdenes del presidente Woodrow Wilson , y con el consentimiento tácito de Venustiano Carranza . El general John J. Pershing dirigió una fuerza invasora de 10.000 hombres a México para capturar a Villa. [ 141 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1915,1934,1910s,Haití,"Del 28 de julio de 1915 al 15 de agosto de 1934, ocupación estadounidense de Haití . Las fuerzas estadounidenses mantuvieron el orden durante un período de inestabilidad política crónica. [ 142 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1916,1916,1910s,China,Las fuerzas estadounidenses desembarcan para sofocar un motín que tiene lugar en una propiedad estadounidense en Nankín . [ 143 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1916,1924,1910s,República Dominicana,"De mayo de 1916 a septiembre de 1924, Ocupación de República Dominicana . Las fuerzas navales estadounidenses mantuvieron el orden durante un período de insurrección crónica y amenazada. [ 144 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1917,1917,1910s,China,Las tropas estadounidenses desembarcan en Chongqing para proteger vidas estadounidenses durante una crisis política. [ 145 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1917,1918,1910s,Primera Guerra Mundial,"El 6 de abril de 1917, Estados Unidos declaró la guerra a Alemania y el 7 de diciembre de 1917 a Austria-Hungría . La entrada de Estados Unidos en la guerra fue precipitada por la guerra submarina de Alemania contra la navegación neutral y el Telegrama Zimmermann . [ 146 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1917,1922,1910s,Cuba,"Las fuerzas estadounidenses protegieron los intereses estadounidenses durante la insurrección y las condiciones inestables posteriores. La mayoría de las fuerzas armadas de los Estados Unidos abandonaron Cuba en agosto de 1919, pero dos compañías permanecieron en Camagüey hasta febrero de 1922. [ 147 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1918,1919,1910s,México,"Después de la retirada de la expedición Pershing, las tropas estadounidenses entraron a México en busca de bandidos al menos tres veces en 1918 y seis veces en 1919. En agosto de 1918, las tropas estadounidenses y mexicanas lucharon en Nogales , batalla de Ambos Nogales . El incidente comenzó cuando espías alemanes planearon un ataque con el ejército mexicano en Nogales, Arizona . Los combates comenzaron cuando un oficial mexicano disparó y mató a un soldado estadounidense en suelo estadounidense. Luego se produjo una batalla a gran escala que terminó con la rendición mexicana. [ 148 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1918,1920,1910s,Panamá,"Se utilizaron fuerzas estadounidenses para tareas policiales de acuerdo con las estipulaciones del tratado, en Chiriquí , durante los disturbios electorales y los disturbios posteriores. [ 149 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1918,1920,1910s,RSFS de Rusia,"Desembarcaron marines en Vladivostok y sus alrededores en junio y julio para proteger el consulado estadounidense y otros puntos de los combates entre el Ejército Rojo y la Legión Checoslovaca que había atravesado Siberia desde el frente occidental. En julio, los comandantes estadounidenses, japoneses, británicos, franceses y checoslovacos emitieron una proclamación conjunta de gobierno de emergencia y neutralidad. En agosto, 7.000 hombres desembarcaron en Vladivostok y permanecieron hasta enero de 1920, como parte de una fuerza de ocupación aliada. En septiembre de 1918, 5.000 tropas estadounidenses se unieron a la fuerza de intervención aliada en la ciudad de Arjánguelsk y permanecieron hasta junio de 1919. Estas operaciones fueron en respuesta a la revolución bolchevique en Rusia y fueron apoyadas en parte por elementos zaristas o de Kerensky . [ 150 ] ​ Para obtener más detalles, consulte la Fuerza Expedicionaria Estadounidense en Siberia y la Fuerza Expedicionaria Estadounidense en el Norte de Rusia .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1919,1919,1910s,Dalmacia (Croacia),las fuerzas estadounidenses desembarcaron en Trau a petición de las autoridades italianas para controlar el orden entre italianos y serbios . [ 151 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1919,1919,1910s,Turquía,Marines del USS Arizona desembarcaron para proteger el consulado de Estados Unidos durante la ocupación griega de Constantinopla . [ 152 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1919,1919,1910s,Honduras,Del 8 al 12 de septiembre se envió a tierra una fuerza de desembarco para mantener el orden en una zona neutral durante un intento de revolución. [ 153 ] ​,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1920,1920,1920s,China,"El 14 de marzo, una fuerza de desembarco fue enviada a tierra durante unas horas para proteger vidas durante un disturbio en Jiujiang . [ 154 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1920,1920,1920s,Guatemala,"Del 9 al 27 de abril, las fuerzas estadounidenses protegieron la Legación estadounidense y otros intereses estadounidenses, como la estación de cable, durante un período de combates entre los unionistas y el Gobierno de Guatemala. [ 155 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1920,1922,1920s,Rusia ( Siberia ),"Del 16 de febrero de 1920 al 19 de noviembre de 1922, se envió un guardia de la Marina para proteger la estación de radio de los Estados Unidos y las propiedades en la isla Ruski , bahía de Vladivostok. [ 156 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
