anio_desde,anio_hasta,seccion,place_or_country,details,source
1894,1896,1890s,Korea,"July 24, 1894, to April 3, 1896, A guard of marines was sent to protect the American legation and American lives and interests at Seoul during and following the First Sino-Japanese War . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1895,1895,1890s,Colombia,"March 8 and 9, U.S. forces protected American interests during an attack on the town of Bocas del Toro by a bandit chieftain. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1896,1896,1890s,Nicaragua,"May 2 to 4, U.S. forces protected American interests in Corinto during political unrest. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1898,1898,1890s,Nicaragua,"February 7 and 8, U.S. forces protected American lives and property at San Juan del Sur. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1898,1898,1890s,Spanish–American War,"On April 25, 1898, the United States declared war with Spain, ostensibly aligned with Cuban rebels. The war followed a Cuban insurrection , the Cuban War of Independence against Spanish rule and the sinking of USS Maine in the harbor at Havana. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1898,1899,1890s,Samoa,"Second Samoan Civil War , a conflict that reached a head in 1898 when Germany, the United Kingdom, and the United States were locked in dispute over who should have control over the Samoan island chain.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1898,1899,1890s,China,"November 5, 1898, to March 15, 1899, U.S. forces provided a guard for the legation at Beijing and the consulate at Tianjin during contest between the Dowager Empress and her son. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1899,1899,1890s,Nicaragua,"American and British naval forces were landed to protect national interests at San Juan del Norte, February 22 to March 5, and at Bluefields a few weeks later in connection with the insurrection of Gen. Juan P. Reyes. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1899,1913,1890s,Philippine Islands,"Philippine–American War , U.S. forces protected American interests following the war with Spain, defeating Filipino revolutionaries seeking immediate national independence. [RL30172] The U.S. government declared the insurgency officially over in 1902, when the Filipino leadership generally accepted American rule. Skirmishes between government troops and armed groups lasted until 1913, and some historians consider these unofficial extensions of the war. [ 5 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1900,1900,1900s,China,"From May 24 to September 28, Boxer Rebellion . American troops participated in operations to protect foreign lives during the Boxer uprising, particularly at Beijing. For many years after this experience a permanent legation guard was maintained in Beijing, and was strengthened at times as trouble threatened. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1901,1901,1900s,Colombia (State of Panama),From November 20 to December 4. (See: Separation of Panama from Colombia ) U.S. forces protected American property on the Isthmus and kept transit lines open during serious revolutionary disturbances. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1902,1902,1900s,Colombia,"From April 16 to 23, U.S. forces protected American lives and property at Bocas del Toro during a civil war. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1902,1902,1900s,Colombia (State of Panama ),"From September 17 to November 18, the United States placed armed guards on all trains crossing the Isthmus to keep the railroad line open, and stationed ships on both sides of Panama to prevent the landing of Colombian troops. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1903,1903,1900s,Honduras,"From March 23 to 30 or 31, U.S. forces protected the American consulate and the steamship wharf at Puerto Cortes during a period of revolutionary activity. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1903,1903,1900s,Dominican Republic,"From March 30 to April 21, a detachment of marines was landed to protect American interests in the city of Santo Domingo during a revolutionary outbreak. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1903,1903,1900s,Syria,"From September 7 to 12, U.S. forces protected the American consulate in Beirut when a local Muslim uprising was feared. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1903,1904,1900s,Abyssinia ( Ethiopia ),Twenty-five Marines were sent to Abyssinia to protect the U.S. Consul General while he negotiated a treaty. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1903,1914,1900s,Panama,"U.S. forces sought to protect American interests and lives during and following the revolution for independence from Colombia over construction of the Isthmian Canal. With brief intermissions, United States Marines were stationed on the Isthmus from November 4, 1903, to January 21, 1914, to guard American interests. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1904,1904,1900s,Dominican Republic,"From January 2 to February 11, American and British naval forces established an area in which no fighting would be allowed and protected American interests in Puerto Plata , Sosua , and Santo Domingo during revolutionary fighting. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1904,1904,1900s,"Tangier, Morocco","""We want either Perdicaris alive or Raisuli dead."" During the Perdicaris affair , a squadron demonstrated to force release of a kidnapped American. Marines were landed to protect the consul general. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1904,1904,1900s,Panama,"From November 17 to 24, U.S. forces protected American lives and property at Ancon at the time of a threatened insurrection. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1904,1905,1900s,Korea,"From January 5, 1904, to November 11, 1905, a guard of Marines was sent to protect the American legation in Seoul during the Russo-Japanese War . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1906,1909,1900s,Cuba,"From September 1906 to January 23, 1909, U.S. forces sought to protect interests and re-establish a government after revolutionary activity. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1907,1907,1900s,Honduras,"From March 18 to June 8, to protect American interests during a war between Honduras and Nicaragua, troops were stationed in Trujillo, Ceiba, Puerto Cortes, San Pedro Sula, Laguna and Choloma. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1910,1910,1910s,Nicaragua,"From May 19 to September 4, Occupation of Nicaragua . U.S. forces protected American interests at Bluefields. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1911,1911,1910s,Honduras,"On January 26, American naval detachments were landed to protect American lives and interests during a civil war in Honduras. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1911,1911,1910s,China,"As the Tongmenghui -led Xinhai Revolution approached, in October an ensign and 10 men tried to enter Wuchang to rescue missionaries but retired on being warned away, and a small landing force guarded American private property and consulate at Hankou. Marines were deployed in November to guard the cable stations at Shanghai; landing forces were sent for protection in Nanjing, Zhenjiang, Taku and elsewhere. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1912,1912,1910s,Honduras,A small force landed to prevent seizure by the government of an American-owned railroad at Puerto Cortes. The forces were withdrawn after the United States disapproved the action. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1912,1912,1910s,Panama,"Troops, on request of both political parties, supervised elections outside the Panama Canal Zone . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1912,1912,1910s,Cuba,"From June 5 to August 5, U.S. forces protected American interests in Oriente Province and in Havana . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1912,1912,1910s,China,"August 24–26, on Kentucky Island (now known as Danzi Dao [ 6 ] ), and August 26–30 at Camp Nicholson. U.S. forces protected Americans and American interests during the Xinhai Revolution . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1912,1912,1910s,Turkey,"From November 18 to December 3, U.S. forces guarded the American legation at Constantinople during the First Balkan War [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1912,1925,1910s,Nicaragua,"From August to November 1912, U.S. forces protected American interests during an attempted revolution. A small force, serving as a legation guard and seeking to promote peace and stability, remained until August 5, 1925. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1912,1941,1910s,China,"The disorders which began with the overthrow of the dynasty during Kuomintang rebellion in 1912, which were redirected by the invasion of China by Japan, led to demonstrations and landing parties for the protection of U.S. interests in China continuously and at many points from 1912 on to 1941. The guard at Beijing and along the route to the sea was maintained until 1941. In 1927, the United States had 5,670 troops ashore in China and 44 naval vessels in its waters. In 1933 the United States had 3,027 armed men ashore. The protective action was generally based on treaties with China concluded from 1858 to 1901. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1913,1913,1910s,Mexico,"From September 5 to 7, a few marines landed at Ciaris Estero to aid in evacuating American citizens and others from the Yaqui Valley , made dangerous for foreigners by the Mexican Revolution . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1914,1914,1910s,Haiti,"January 29 to February 9, February 20 and 21, October 19. Intermittently, U.S. naval forces protected American nationals in a time of rioting and revolution. [RL30172] The specific order from Secretary of the Navy Josephus P. Daniels to the invasion commander, Admiral William Deville Bundy, was to ""protect American and foreign"" interests. [ citation needed ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1914,1914,1910s,Dominican Republic,"In June and July, during the Dominican Civil War (1914) , United States naval forces by gunfire stopped the bombardment of Puerto Plata , and by threat of force maintained Santo Domingo as a neutral zone. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1914,1917,1910s,Mexico,"Tampico Affair led to Occupation of Veracruz, Mexico .  Undeclared Mexican–American hostilities followed the Tampico Affair and Villa's raids . Also Pancho Villa Expedition – an abortive military operation conducted by the United States Army against the military forces of Francisco ""Pancho"" Villa from 1916 to 1917 and included capture of Veracruz . On March 19, 1915, on orders from President Woodrow Wilson, and with tacit consent by Venustiano Carranza . General John J. Pershing led an invasion force of 10,000 men into Mexico to capture Villa. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1915,1934,1910s,Haiti,"From July 28, 1915, to August 15, 1934, United States occupation of Haiti . U.S. forces maintained order during a period of chronic political instability. [RL30172] During the initial entrance into Haiti, the specific order from the Secretary of the Navy to the invasion commander, Admiral William Deville Bundy, was to ""protect American and foreign"" interests. [ citation needed ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1916,1916,1910s,China,American forces landed to quell a riot taking place on American property in Nanjing. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1916,1924,1910s,Dominican Republic,"From May 1916 to September 1924, Occupation of the Dominican Republic . American naval forces maintained order during a period of chronic and threatened insurrection. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1917,1917,1910s,China,American troops were landed at Chongqing to protect American lives during a political crisis. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1917,1918,1910s,World War I,"On April 6, 1917, the United States declared war against Germany and on December 7, 1917, against Austria-Hungary . Entrance of the United States into the war was precipitated by Germany's submarine warfare against neutral shipping and the Zimmermann Telegram . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1917,1922,1910s,Cuba,"U.S. forces protected American interests during insurrection and subsequent unsettled conditions. Most of the United States armed forces left Cuba by August 1919, but two companies remained at Camaguey until February 1922. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1918,1919,1910s,Mexico,"After withdrawal of the Pershing expedition, U.S. troops entered Mexico in pursuit of bandits at least three times in 1918 and six times in 1919. In August 1918, American and Mexican troops fought at Nogales , Battle of Ambos Nogales . The incident began when German spies plotted an attack with the Mexican Army on Nogales, Arizona . The fighting began when a Mexican officer shot and killed a U.S. soldier on American soil. A full-scale battle then ensued, ending with a Mexican surrender. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1918,1920,1910s,Panama,"U.S. forces were used for police duty according to treaty stipulations, at Chiriqui , during election disturbances and subsequent unrest. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1918,1920,1910s,Russian SFSR,"Marines were landed at and near Vladivostok in June and July to protect the American consulate and other points in the fighting between the Red Army and the Czech Legion which had traversed Siberia from the western front. A joint proclamation of emergency government and neutrality was issued by the American, Japanese, British, French, and Czech commanders in July. In August 7,000 men were landed in Vladivostok and remained until January 1920, as part of an allied occupation force. In September 1918, 5,000 American troops joined the allied intervention force at the city of Arkhangelsk and remained until June 1919. These operations were in response to the Bolshevik revolution in Russia and were partly supported by Czarist or Kerensky elements. [RL30172] For details, see the American Expeditionary Force Siberia and the American Expeditionary Force North Russia .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1919,1919,1910s,Dalmatia (Croatia),U.S. forces were landed at Trau at the request of Italian authorities to police order between the Italians and Serbs . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1919,1919,1910s,Turkey,Marines from USS Arizona were landed to guard the U.S. Consulate during the Greek occupation of Constantinople . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1919,1919,1910s,Honduras,"From September 8 to 12, a landing force was sent ashore to maintain order in a neutral zone during an attempted revolution. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1920,1920,1920s,China,"On March 14, a landing force was sent ashore for a few hours to protect lives during a disturbance at Jiujiang . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1920,1920,1920s,Guatemala,"From April 9 to 27, U.S. forces protected the American Legation and other American interests, such as the cable station, during a period of fighting between Unionists and the Government of Guatemala. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1920,1922,1920s,Russia (Siberia),"From February 16, 1920, to November 19, 1922, a Marine guard was sent to protect the United States radio station and property on Russian Island , Bay of Vladivostok. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1921,1921,1920s,Panama and Costa Rica,American naval squadrons demonstrated in April on both sides of the Isthmus to prevent war between the two countries over a boundary dispute. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1922,1922,1920s,Turkey,"In September and October, a landing force was sent ashore with consent of both Greek and Turkish authorities, to protect American lives and property when the Turkish nationalists entered İzmir ( Smyrna ). [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1922,1923,1920s,China,"From April 1922 to November 1923, Marines were landed five times to protect Americans during periods of unrest. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1924,1924,1920s,Honduras,"From February 28 to March 31, and from September 10 to 15, U.S. forces protected American lives and interests during election hostilities. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1924,1924,1920s,China,"In September, Marines were landed to protect Americans and other foreigners in Shanghai during Chinese factional hostilities. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1925,1925,1920s,China,"From January 15 to August 29, fighting of Chinese factions accompanied by riots and demonstrations in Shanghai brought the landing of American forces to protect lives and property in the International Settlement . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1925,1925,1920s,Honduras,"From April 19 to 21, U.S. forces protected foreigners at La Ceiba during a political upheaval. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1925,1925,1920s,Panama,"From October 12 to 23, strikes and rent riots led to the landing of about 600 American troops to keep order and protect American interests. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1926,1933,1920s,Nicaragua,"From May 7 to June 5, 1926, and August 27, 1926, to January 3, 1933, the coup d'état of General Emiliano Chamorro Vargas aroused revolutionary activities leading to the landing of American marines to protect the interests of the United States. United States forces came and went intermittently until January 3, 1933. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1926,1926,1920s,China,"In August and September, the Nationalist attack on Hankou brought the landing of American naval forces to protect American citizens. A small guard was maintained at the consulate general even after September 16, when the rest of the forces were withdrawn. Likewise, when Kuomintang forces captured Jiujiang , naval forces were landed for the protection of foreigners November 4 to 6. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1927,1927,1920s,China,"In February, fighting at Shanghai caused presence American naval forces and marines to be increased. In March, a naval guard was stationed at American consulate at Nanjing after Nationalist forces captured the city . American and British destroyers later used shell fire to protect Americans and other foreigners. Subsequently, additional forces of Marines and naval forces were stationed in the vicinity of Shanghai and Tianjin. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1932,1932,1930s,United States,""" Bonus Army "" of 17,000 WWI veterans plus 20,000 family cleared from Washington and then Anacostia flats "" Hooverville "" by 3rd Cavalry and 12th Infantry Regiments under Gen. Douglas MacArthur and Major Dwight D Eisenhower , July 28.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1933,1933,1930s,Cuba,During a revolution against President Gerardo Machado naval forces demonstrated but no landing was made. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1934,1934,1930s,China,Marines landed at Fuzhou to protect the American Consulate. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1937,1937,1930s,China,American forces were landed to protect American interests during the Japanese occupation of Shanghai. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1940,1940,1940–1944,"Newfoundland , Bermuda , St. Lucia , – Bahamas , Jamaica , Antigua , Trinidad , and British Guiana",Troops were sent to guard air and naval bases obtained under lease by negotiation with the United Kingdom. These were sometimes called lend-lease bases but were under the destroyers-for-bases deal . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1941,1941,1940–1944,Greenland,Greenland was taken under protection of the United States in April. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1941,1941,1940–1944,Netherlands (Dutch Guiana),"In November, the President ordered American troops to occupy Dutch Guiana, but by agreement with the Netherlands government in exile, Brazil cooperated to protect aluminum ore supply from the bauxite mines in Suriname. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1941,1941,1940–1944,Iceland,"Iceland was taken under the protection of the United States , without consent of its government replacing British troops, for strategic reasons. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1941,1941,1940–1944,Germany,"Sometime in the spring, the President ordered the Navy to patrol ship lanes to Europe. By July, U.S. warships were convoying and by September were attacking German submarines. In November, in response to the October 31, 1941, sinking of USS Reuben James , the Neutrality Act was partly repealed to protect U.S. military aid to Britain. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1941,1945,1940–1944,World War II,"On December 8, 1941, the United States declared war against Japan in response to the attack on Pearl Harbor . On December 11, Nazi Germany and Fascist Italy declared war against the United States. [ 7 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1944,1946,1945–1949,,Temporary reoccupation of the Philippines during World War II and in preparation for previously scheduled independence. [ citation needed ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1945,1945,1945–1949,China,"In October 50,000 U.S. Marines were sent to North China to assist Chinese Nationalist authorities in disarming and repatriating the Japanese in China and in controlling ports, railroads, and airfields. This was in addition to approximately 60,000 U.S. forces remaining in China at the end of World War II. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1945,1949,1945–1949,,Occupation of part of Germany .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1945,1955,1945–1949,,Occupation of part of Austria .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1945,1952,1945–1949,,Occupation of Japan .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1945,1947,1945–1949,,U.S. Marines garrisoned in mainland China to oversee the removal of Japanese forces after World War II. [ 8 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1945,1949,1945–1949,,Post-World War II occupation of South Korea ; North Korean insurgency in Republic of Korea [ 9 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1946,1946,1945–1949,"Trieste , (Italy)","President Truman ordered the increase of U.S. troops along the zonal occupation line and the reinforcement of air forces in northern Italy after the Yugoslav People's Army shot down an unarmed U.S. Army transport plane flying over Venezia Giulia . [ citation needed ] Earlier U.S. naval units had been sent to the scene. [RL30172] Later the Free Territory of Trieste , Zone A.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1948,1948,1945–1949,Jerusalem ( British Mandate ),A Marine consular guard was sent to Jerusalem to protect the U.S. Consul General. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1948,1948,1945–1949,Berlin,"Berlin Airlift After the Soviet Union established a land blockade of the U.S., British, and French sectors of Berlin on June 24, 1948, the United States and its allies airlifted supplies to Berlin until after the blockade was lifted in May 1949. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1948,1949,1945–1949,China,"Marines were dispatched to Nanjing to protect the American Embassy when the city fell to Communist troops, and to Shanghai to aid in the protection and evacuation of Americans. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1950,1953,1950s,Korean War,"The United States responded to the North Korean invasion of South Korea by going to its assistance, pursuant to United Nations Security Council resolutions. U.S. forces deployed in Korea exceeded 300,000 during the last year of the active conflict (1953). Over 36,600 U.S. military were killed in action. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1950,1955,1950s,Formosa (Taiwan),"In June 1950, at the beginning of the Korean War, President Truman ordered the U.S. Seventh Fleet to prevent People's Liberation Army attacks upon Formosa and Republic of China Armed Forces operations against mainland China. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1950,1950,1950s,Puerto Rico (United States colonial territory),"The United States National Guard used P-47 Thunderbolt attack aircraft, land-based artillery, mortar fire, and grenades to counterattack Puerto Rican freedom fighters, Nationalists and independence rebels looking to end U.S. colonial rule during the Jayuya uprising .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1950,1950,1950s,"After their defeat in the Chinese Civil War , parts of the Nationalist army retreated south and crossed the border into Burma. [ 10 ]","65 The United States supported these Nationalist forces because the United States hoped they would harass the People's Republic of China from the southwest , thereby diverting Chinese resources from the Korean War . [ 10 ] : 65 The Burmese government protested and international pressure increased. [ 10 ] : 65 Beginning in 1953, several rounds of withdrawals of the Nationalist forces and their families were carried out. [ 10 ] : 65 In 1960, joint military action by China and Burma expelled the remaining Nationalist forces from Burma, although some went on to settle in the Burma-Thailand borderlands . [ 10 ] : 65–66",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1954,1955,1950s,China,"First Taiwan Strait Crisis , Naval units evacuated U.S. civilians and military personnel from the Tachen Islands . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1955,1964,1950s,Vietnam,"First military advisors sent to Vietnam on February 12, 1955. By 1964, U.S. troop levels had grown to 21,000. On August 7, 1964, U.S. Congress approved Gulf of Tonkin resolution affirming ""All necessary measures to repel any armed attack against the forces of the United States. . .to prevent further aggression. . . (and) assist any member or protocol state of the Southeast Asian Collective Defense Treaty ( SEATO ) requesting assistance. . ."" [Vietnam timeline]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1955,1975,1950s,Vietnam War,"U.S. military advisers had been in South Vietnam for a decade, and their numbers had been increased as the military position of the Saigon government became weaker. After citing what he falsely termed were Vietnam People's Navy attacks on U.S. destroyers, in what came to be known as the Gulf of Tonkin incident , President Lyndon B. Johnson asked in August 1964 for a resolution expressing U.S. determination to support ""freedom and protect peace in Southeast Asia."" Congress responded with the Gulf of Tonkin Resolution , giving President Johnson authorization, without a formal declaration of war by Congress, for the use of conventional military force in Southeast Asia. Following this resolution, and following a communist attack on a U.S. installation in central Vietnam, the United States escalated its participation in the war to a peak of 543,000 military personnel by April 1969. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1956,1956,1950s,Egypt,A marine battalion evacuated U.S. nationals and other persons from Alexandria during the Suez Crisis . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1958,1958,1950s,Lebanon,"1958 Lebanon crisis , Marines were landed in Lebanon at the invitation of President Camille Chamoun to help protect against threatened insurrection supported from the outside. The President's action was supported by a congressional resolution passed in 1957 that authorized such actions in that area of the world. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1959,1960,1950s,The Caribbean,Second Marine Ground Task Force was deployed to protect U.S. nationals following the Cuban Revolution . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1962,1962,1960s,Thailand,"The Third Marine Expeditionary Unit landed on May 17, 1962, to support that country during the threat of Communist pressure from outside; by July 30, the 5,000 marines had been withdrawn. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1962,1962,1960s,Cuba,"Cuban Missile Crisis , On October 22, President Kennedy instituted a ""quarantine"" on the shipment of offensive missiles to Cuba from the Soviet Union. He also warned Soviet Union that the launching of any missile from Cuba against nations in the Western Hemisphere would bring about U.S. nuclear retaliation on the Soviet Union. A negotiated settlement was achieved in a few days. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1962,1975,1960s,Laos,"From October 1962 until 1975, the United States played an important role in military support of anti-Communist forces in Laos. [RL30172] Meanwhile, the United States was fighting a covert military operation using CIA paramilitary forces, known as The Secret War .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1964,1964,1960s,Congo (Zaire),The United States sent four transport planes to provide airlift for Congolese troops during a rebellion and to transport Belgian paratroopers to rescue foreigners. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1964,1965,1960s,Invasion of Dominican Republic,"Operation Power Pack , The United States intervened to protect lives and property during a Dominican revolt and sent 20,000 U.S. troops as fears grew that the revolutionary forces were coming increasingly under Communist control. [RL30172] A popular rebellion broke out, promising to reinstall Juan Bosch as the country's elected leader. The revolution was crushed when U.S. Marines landed to uphold the military regime by force.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1965,1965,1960s,Israel,"The USS Liberty incident , whereupon a United States Navy Technical Research Ship was attacked June 8, 1967, by the Israel Defense Forces , killing 34 and wounding more than 170 U.S. crew members.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1967,1967,1960s,Congo (Zaire),The United States sent three military transport aircraft with crews to provide the Congo central government with logistical support during a revolt. [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1967,1967,1960s,Laos & Cambodia,U.S. starts secret bombing campaign against targets along the Ho Chi Minh trail in the sovereign nations of Cambodia and Laos .  The bombings last at least two years. (See Operation Commando Hunt ),https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1968,1968,1960s,,,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1970,1970,1970s,Cambodian campaign,"U.S. troops were ordered into Cambodia to clean out Communist sanctuaries from which Viet Cong and North Vietnam attacked U.S. and South Vietnamese forces in Vietnam. The object of this attack, which lasted from April 30 to June 30, was to ensure the continuing safe withdrawal of American forces from South Vietnam and to assist the program of Vietnamization . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1972,1972,1970s,North Vietnam,"Christmas bombing Operation Linebacker II (not mentioned in RL30172, but an operation leading to peace negotiations). The operation was conducted from December 18–29, 1972.  It was a bombing of the cities Hanoi and Haiphong by B-52 bombers.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1973,1973,1970s,,"Operation Nickel Grass , a strategic airlift operation conducted by the United States to deliver weapons and supplies to Israel during the Yom Kippur War .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1974,1974,1970s,Evacuation from Cyprus,United States naval forces evacuated U.S. civilians during the Turkish invasion of Cyprus . [RL30172],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1975,1975,1970s,Evacuation from Vietnam,"Operation Frequent Wind , On April 3, 1975, President Gerald Ford reported U.S. naval vessels, helicopters, and Marines had been sent to assist in evacuation of refugees and US nationals from Vietnam. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
